,Month,Mean Sea Level [m],STD [m]
0,0.0,6.9260516983220715,0.05
1,1.0,6.887572778843889,0.05
2,2.0,7.025780808249758,0.05
3,3.0,6.891763604879989,0.05
4,4.0,6.909974665899827,0.05
5,5.0,6.98374419213477,0.05
6,6.0,6.859284478499655,0.05
7,7.0,6.875290228306726,0.05
8,8.0,6.914378184955868,0.05
9,9.0,6.8886304882358225,0.05
10,10.0,6.845611717964475,0.05
11,11.0,6.895132085516961,0.05
12,12.0,6.8875604261570516,0.05
13,13.0,6.935801416098363,0.05
14,14.0,6.822514371955078,0.05
15,15.0,6.87087080900494,0.05
16,16.0,6.963575273824571,0.05
17,17.0,6.998998236172553,0.05
18,18.0,6.830698670387344,0.05
19,19.0,6.9386259862771755,0.05
20,20.0,6.857479178932381,0.05
21,21.0,6.86379287791828,0.05
22,22.0,6.863167538952077,0.05
23,23.0,6.8857620641175155,0.05
24,24.0,6.956835414382078,0.05
25,25.0,6.942760449041013,0.05
26,26.0,6.9102225601189105,0.05
27,27.0,6.889225766494637,0.05
28,28.0,6.9076817150262135,0.05
29,29.0,6.902346713237411,0.05
30,30.0,6.947421863774155,0.05
31,31.0,6.8763165787722205,0.05
32,32.0,6.907711377298318,0.05
33,33.0,6.903093704592918,0.05
34,34.0,6.905657640101563,0.05
35,35.0,6.920859893033175,0.05
36,36.0,6.9184079771178295,0.05
37,37.0,6.975393363738558,0.05
38,38.0,6.904433117173372,0.05
39,39.0,6.9869794746204725,0.05
40,40.0,6.893736171350471,0.05
41,41.0,6.8852682140056665,0.05
42,42.0,6.914317656767995,0.05
43,43.0,6.9271786334085945,0.05
44,44.0,6.923013292574236,0.05
45,45.0,6.974256803882073,0.05
46,46.0,6.966751746114714,0.05
47,47.0,6.9346325795402795,0.05
48,48.0,6.8932197091381715,0.05
49,49.0,6.905131767240419,0.05
50,50.0,6.980958347912638,0.05
51,51.0,6.921477115619873,0.05
52,52.0,6.845001715269111,0.05
53,53.0,6.876188072796463,0.05
54,54.0,6.881916635198077,0.05
55,55.0,6.9685284978392055,0.05
56,56.0,6.905686022539989,0.05
57,57.0,7.024175522927985,0.05
58,58.0,6.944127120215766,0.05
59,59.0,6.917662450430029,0.05
60,60.0,6.88976287567287,0.05
61,61.0,6.960282999569028,0.05
62,62.0,6.89976443943264,0.05
63,63.0,6.870719786335762,0.05
64,64.0,6.940458557353938,0.05
65,65.0,6.912815799763476,0.05
66,66.0,6.97175688268017,0.05
67,67.0,6.908750142912274,0.05
68,68.0,6.769571372979364,0.05
69,69.0,6.952150053980265,0.05
70,70.0,6.818920652034678,0.05
71,71.0,6.989871465963267,0.05
72,72.0,7.004127858082793,0.05
73,73.0,6.891834014319123,0.05
74,74.0,6.85507645056937,0.05
75,75.0,6.843583807302501,0.05
76,76.0,6.957196202059279,0.05
77,77.0,6.903583524576439,0.05
78,78.0,6.883897399247131,0.05
79,79.0,6.901770373316699,0.05
80,80.0,7.018493055219672,0.05
81,81.0,6.931539249654948,0.05
82,82.0,6.951605593262959,0.05
83,83.0,6.953290587778261,0.05
84,84.0,6.965492227342283,0.05
85,85.0,6.967764705078028,0.05
86,86.0,6.879299773254635,0.05
87,87.0,6.904189667944027,0.05
88,88.0,6.877037005096199,0.05
89,89.0,6.879642821571505,0.05
90,90.0,6.972402332319265,0.05
91,91.0,6.890365130548582,0.05
92,92.0,6.911621302309925,0.05
93,93.0,6.881063515729565,0.05
94,94.0,6.8861606567384746,0.05
95,95.0,6.955368654928389,0.05
96,96.0,6.893811220637249,0.05
97,97.0,6.892102673337594,0.05
98,98.0,6.941012528181301,0.05
99,99.0,6.941484973969355,0.05
100,100.0,6.95620770092061,0.05
101,101.0,6.925250755139332,0.05
102,102.0,6.829151451952976,0.05
103,103.0,6.948479281267077,0.05
104,104.0,6.942006880633389,0.05
105,105.0,6.9681232628373815,0.05
106,106.0,6.875018913976012,0.05
107,107.0,7.04350868898845,0.05
108,108.0,6.8559749640013115,0.05
109,109.0,6.954067895236739,0.05
110,110.0,6.920143955868139,0.05
111,111.0,6.893615524848239,0.05
112,112.0,6.958904737642405,0.05
113,113.0,6.904152575984765,0.05
114,114.0,6.801568953458927,0.05
115,115.0,6.860112084481389,0.05
116,116.0,6.9414848730069885,0.05
117,117.0,7.030626212475259,0.05
118,118.0,6.84479093427542,0.05
119,119.0,6.918132590923611,0.05
120,120.0,6.977135161011513,0.04
121,121.0,6.94350659449722,0.04
122,122.0,6.904332910429177,0.04
123,123.0,6.862606724689156,0.04
124,124.0,6.848363617193588,0.04
125,125.0,6.8898194000821205,0.04
126,126.0,6.905125212796014,0.04
127,127.0,6.830022831358453,0.04
128,128.0,6.852366517323279,0.04
129,129.0,6.932385420030071,0.04
130,130.0,6.904005750357006,0.04
131,131.0,6.89029818272284,0.04
132,132.0,6.904316602191978,0.04
133,133.0,6.888238340816588,0.04
134,134.0,6.957969942038294,0.04
135,135.0,6.986593418831139,0.04
